movie_odid,display_name,territory,release_date,total_box_office,currency,local_box_office,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements
180630100,Minions,Indonesia,2015-06-17,8690289,IDR,116965641252,3495751,517,517,1382
180630100,Minions,Iraq,2015-07-16,1010,IQD,1150390,0,0,1,1
180630100,Minions,Israel,2015-07-02,5631733,ILS,21686677,621522,31,33,486
180630100,Minions,Italy,2015-08-27,26220498,EUR,23564362,8002777,521,543,2720
180630100,Minions,Japan,2015-07-31,42300998,JPY,5200061684,4398178,619,619,3949
180630100,Minions,Kenya,2015-07-10,76038,KES,8031902,0,0,4,4
180630100,Minions,Latvia,2015-07-03,833604,EUR,739240,0,0,25,29
180630100,Minions,Lebanon,2015-07-09,1046107,LBP,1580291706,221024,17,17,49
180630100,Minions,Lithuania,2015-07-17,1311010,EUR,1116849,0,0,205,978
180630100,Minions,Malaysia,2015-06-18,4997922,MYR,21566033,2211403,121,121,663
180630100,Minions,Mexico,2015-07-10,45632351,MXN,767148269,15722420,692,694,2414
180630100,Minions,Mongolia,2015-07-17,157154,MNT,312264998,42550,4,4,15
180630100,Minions,Netherlands,2015-07-02,15023297,EUR,13203976,1148467,132,132,2184
180630100,Minions,New Zealand,2015-06-25,4004231,NZD,6106052,731456,126,126,1117
180630100,Minions,Norway,2015-07-03,5479678,NOK,47709364,697946,131,131,904
180630100,Minions,Panama,2015-07-09,8843590,USD,8843590,3134738,12,16,97
180630100,Minions,Peru,2015-07-23,5895080,PEN,19668934,1886661,84,85,406
180630100,Minions,Philippines,2015-07-08,6597326,PHP,301859991,4180386,145,145,478
180630100,Minions,Poland,2015-06-26,8071082,PLN,31303692,2369476,213,237,1332
180630100,Minions,Portugal,2015-07-23,10802372,EUR,5028523,1176714,70,77,721
180630100,Minions,Romania,2015-07-10,4550782,RON,7912445,531290,111,111,708
180630100,Minions,Russia (CIS),2015-07-09,30015860,RUB,1861889799,15270038,1209,17424,25349
180630100,Minions,Serbia and Montenegro,2015-07-09,464221,RSD,53136964,0,0,22,26
180630100,Minions,Singapore,2015-07-10,5240672,SGD,7459573,2239140,82,82,289
180630100,Minions,Slovakia,2015-06-25,2050705,EUR,1808722,652441,63,63,404
180630100,Minions,Slovenia,2015-08-13,822057,EUR,775857,157802,22,22,220
180630100,Minions,South Africa,2015-07-10,3995717,ZAR,54561516,1029859,129,129,1120
180630100,Minions,South Korea,2015-07-29,16278949,KRW,19177253080,4188161,792,792,2746
180630100,Minions,Spain,2015-07-03,26857564,EUR,23777001,6124259,626,626,4559
180630100,Minions,Sweden,2015-07-03,7516400,SEK,64341887,1095644,153,153,1301
180630100,Minions,Switzerland,2015-07-02,10258050,CHF,10229327,1034218,192,219,2079
180630100,Minions,Taiwan,2015-07-10,10281089,TWD,331462309,4498279,188,188,754
180630100,Minions,Thailand,2015-07-09,3402195,THB,120914010,1815312,153,153,468
180630100,Minions,Turkey,2015-09-04,3898528,TRY,11543541,840008,328,328,1822
180630100,Minions,Ukraine,2015-07-09,2046677,UAH,47677341,830690,277,277,1151
180630100,Minions,United Arab Emirates,2015-07-16,4160166,AED,15279458,0,0,85,92
180630100,Minions,United Kingdom,2015-06-26,73240514,UKP,48140990,18191605,571,607,9363
180630100,Minions,Uruguay,2015-06-25,1696276,UYU,49374354,183079,26,29,206
180630100,Minions,Venezuela,2015-07-10,51768746,VEF,325325154,6162068,70,70,672
180630100,Minions,Vietnam,2015-07-10,4117278,VND,92523101073,1189338,205,205,377
180630100,Minions,Rest of World,,3041065,,0,0,0,0,0
