movie_odid,display_name,billing,person_odid,person,role
140090100,Frankenweenie,24,311500401,Christopher Boyes,Re-recording Mixer
140100100,John Carter,1,136090401,Andrew Stanton,Director
140100100,John Carter,2,208480401,Jim Morris,Producer
140100100,John Carter,3,303020401,Lindsey Collins,Producer
140100100,John Carter,4,206830401,Colin Wilson,Producer
140100100,John Carter,5,136090401,Andrew Stanton,Screenwriter
140100100,John Carter,6,289200401,Mark Andrews,Screenwriter
140100100,John Carter,7,300070401,Michael Chapman,Screenwriter
140100100,John Carter,8,332030401,Edgar Rice Burroughs,Story Creator
140100100,John Carter,9,205760401,Dan Mindel,Cinematographer
140100100,John Carter,10,157570401,Eric Zumbrunnen,Editor
140100100,John Carter,11,184800401,Michael Giacchino,Composer
140100100,John Carter,12,203270401,Nathan Crowley,Production Designer
140100100,John Carter,13,332040401,James Hambidge,Supervising Art Director
140100100,John Carter,14,92700401,Naaman Marshall,Supervising Art Director
140100100,John Carter,15,332050401,Mark Harris,Art Director
140100100,John Carter,16,322450401,Phil Harvey,Art Director
140100100,John Carter,17,332060401,Joseph Hodges,Art Director
140100100,John Carter,18,322430401,John King,Art Director
140100100,John Carter,19,318380401,Dean Wolcott,Art Director
140100100,John Carter,20,332070401,Robert Woodruff,Art Director
140100100,John Carter,21,332080401,Scott Zuber,Art Director
140100100,John Carter,22,316010401,Susan Whitaker,Visual Effects Designer
140100100,John Carter,23,316040401,Paki Smith,Set Decorator
140100100,John Carter,24,124830401,Mayes C. Rubeo,Costume Designer
140100100,John Carter,25,328500401,Chris Munro,Sound Mixer
140100100,John Carter,26,332090401,Timothy Nielsen,Sound Designer
140100100,John Carter,27,323920401,Jonathan Null,Supervising Sound Editor
140100100,John Carter,28,332090401,Timothy Nielsen,Supervising Sound Editor
140100100,John Carter,29,129740401,Michael Semanick,Re-recording Mixer
140100100,John Carter,30,311760401,Tom Johnson,Re-recording Mixer
140100100,John Carter,31,112850401,Juan Peralta,Re-recording Mixer
140100100,John Carter,32,241480401,Chris Corbould,Special Effects Supervisor
140100100,John Carter,33,332100401,Scott R. Fisher,Special Effects Coordinator
140100100,John Carter,34,332110401,Peter Chiang,Visual Effects Supervisor
140100100,John Carter,35,332120401,Sue Rowe,Visual Effects Supervisor
140100100,John Carter,36,332130401,Eamonn Butler,Animation Supervisor
140100100,John Carter,37,332140401,Tom Struthers,Stunt Coordinator
140100100,John Carter,38,56780401,Tommy Gormley,Assistant Director
140100100,John Carter,39,289200401,Mark Andrews,Second Unit Director
140100100,John Carter,40,332150401,Robert Bruce McCleery,Second Unit Camera
140100100,John Carter,41,233530401,Marcia Ross,Casting Director
140110100,Dolphin Tale,1,133700401,Charles Martin Smith,Director
140110100,Dolphin Tale,2,271460401,Karen Janszen,Screenwriter
140110100,Dolphin Tale,3,271470401,Noam Dromi,Screenwriter
140110100,Dolphin Tale,5,179440401,Broderick Johnson,Producer
140110100,Dolphin Tale,6,271480401,Richard Ingber,Producer
140110100,Dolphin Tale,7,271490401,Robert Engelman,Executive Producer
140110100,Dolphin Tale,8,179480401,Steven P. Wegner,Executive Producer
140110100,Dolphin Tale,9,271500401,Carl Walter Lindenlaub,Cinematographer
140110100,Dolphin Tale,10,205630401,Michael Corenblith,Production Designer
140110100,Dolphin Tale,11,271510401,Harvey Rosenstock,Editor
140110100,Dolphin Tale,12,271520401,Hope Hanafin,Costume Designer
140110100,Dolphin Tale,13,271530401,Robert Munroe,Visual Effects Supervisor
140110100,Dolphin Tale,14,271540401,Yolanda T. Cochran,Co-Producer
140110100,Dolphin Tale,15,155750401,David Yates,Co-Producer
140110100,Dolphin Tale,16,271550401,Deva Anderson,Music Supervisor
140110100,Dolphin Tale,17,199840401,Mark Isham,Composer
140110100,Dolphin Tale,18,10120401,Kerry Barden,Casting Director
140110100,Dolphin Tale,19,228940401,Paul Schnee,Casting Director
140110100,Dolphin Tale,20,377640401,Jim Bigham,Unit Production Manager
140110100,Dolphin Tale,21,271490401,Robert Engelman,Unit Production Manager
140110100,Dolphin Tale,22,410270401,Philip Patterson,Assistant Director
140110100,Dolphin Tale,23,410280401,Meaghan F. McLaughlin,Assistant Director
140110100,Dolphin Tale,24,410110401,Brad Arensman,Associate Producer
140110100,Dolphin Tale,25,410290401,Carl Rogers,Associate Producer
140120100,Altiplano,100,179640401,Heino Deckert,Producer
140120100,Altiplano,100,179650401,Peter Brosens,Co-Director
140120100,Altiplano,100,179650401,Peter Brosens,Screenwriter
140120100,Altiplano,100,179660401,Jessica Woodworth,Co-Director
140120100,Altiplano,100,179660401,Jessica Woodworth,Screenwriter
181330100,Penguins of Madagascar,1,783130401,Simon J. Smith,Director
181330100,Penguins of Madagascar,2,35940401,Eric Darnell,Director
181330100,Penguins of Madagascar,3,821730401,Lara Brey,Producer
181330100,Penguins of Madagascar,4,220110401,Mark Swift,Producer
181330100,Penguins of Madagascar,5,176830401,Tom McGrath,Executive Producer
181330100,Penguins of Madagascar,6,368840401,Mireille Soria,Executive Producer
181330100,Penguins of Madagascar,7,35940401,Eric Darnell,Executive Producer
181330100,Penguins of Madagascar,8,738460401,Tripp Hudson,Co-Producer
181330100,Penguins of Madagascar,9,799410401,Michael Colton,Screenwriter
181330100,Penguins of Madagascar,10,799400401,John Aboud,Screenwriter
181330100,Penguins of Madagascar,11,944920401,Brandon Sawyer,Screenwriter
181330100,Penguins of Madagascar,12,194010401,Alan Schoolcraft,Story Creator
181330100,Penguins of Madagascar,13,194020401,Brent Simons,Story Creator
181330100,Penguins of Madagascar,14,799410401,Michael Colton,Story Creator
181330100,Penguins of Madagascar,15,799400401,John Aboud,Story Creator
181330100,Penguins of Madagascar,16,194040401,Lorne Balfe,Composer
181330100,Penguins of Madagascar,17,944930401,Nick Kenway,Editor
181330100,Penguins of Madagascar,18,944940401,Robert Porter,Head of Story
181330100,Penguins of Madagascar,19,944950401,Derek Drymon,Head of Story
181330100,Penguins of Madagascar,20,368860401,Shannon Jeffries,Production Designer
181330100,Penguins of Madagascar,21,370180401,Philippe Gluckman,Visual Effects Supervisor
181330100,Penguins of Madagascar,22,944960401,Conan Low,Head of Layout
181330100,Penguins of Madagascar,23,944970401,Olivier Staphylas,Head of Animation
181330100,Penguins of Madagascar,24,944980401,Ruben Perez,Art Director
181330100,Penguins of Madagascar,25,502000401,Jennifer Dahlman,Associate Producer
181330100,Penguins of Madagascar,26,944990401,Damien de Froberville,Associate Producer
181330100,Penguins of Madagascar,27,945000401,Dinesh Krishnan Nair,Production Manager
181330100,Penguins of Madagascar,28,945010401,Michelle Jurado Staphylas,Production Manager
181330100,Penguins of Madagascar,29,945020401,Jamaal Bradley,Animation Supervisor
181330100,Penguins of Madagascar,30,468590401,Jonathan Harman,Lighting
181330100,Penguins of Madagascar,31,945030401,Rajarajan Ramakrishnan,Lighting
181330100,Penguins of Madagascar,32,945040401,Murali Babu Kodiparthi,Lighting
181330100,Penguins of Madagascar,33,945050401,Gregory Jennings,Lighting
181330100,Penguins of Madagascar,34,945060401,Raju Vaidya,Lighting
181330100,Penguins of Madagascar,35,945070401,Vimal Subramaniam,Lighting
181330100,Penguins of Madagascar,36,945080401,Josh West,Modeling Supervisor
181330100,Penguins of Madagascar,37,945090401,J.J. Jay,Character TD Supervisor
181330100,Penguins of Madagascar,38,945100401,Nathaniel Dirksen,Character TD Supervisor
181330100,Penguins of Madagascar,39,945110401,Somesh Quadros,Character Effects Supervisor
181330100,Penguins of Madagascar,40,945120401,Erik Mattson,Effects Lead
181330100,Penguins of Madagascar,41,945130401,Michael Brainerd,Supervising Technical Director
181330100,Penguins of Madagascar,42,109520401,Paul N. J. Ottosson,Sound Designer
181330100,Penguins of Madagascar,43,109520401,Paul N. J. Ottosson,Sound Supervisor
181330100,Penguins of Madagascar,44,109520401,Paul N. J. Ottosson,Re-recording Mixer
181330100,Penguins of Madagascar,45,313430401,Leslee Feldman,Casting Director
181330100,Penguins of Madagascar,46,368920401,Christi Soper,Casting Director
181330100,Penguins of Madagascar,47,945140401,Chris Leahy,Associate Producer
181330100,Penguins of Madagascar,48,945150401,Virendra Chauhan,Production Manager
181330100,Penguins of Madagascar,49,764750401,Laura Grieve,Digital Supervisor
181330100,Penguins of Madagascar,50,945160401,David Torres,Head of Animation
181330100,Penguins of Madagascar,51,945170401,Oliver Finkelde,Character Effects Supervisor
181330100,Penguins of Madagascar,52,945180401,Justin Onstine,Simulation & Crowds Supervisor
181330100,Penguins of Madagascar,53,945200401,Shawn Lewis,Supervising Technical Director
181330100,Penguins of Madagascar,54,945220401,Josh Lieberman,Story Artist
181330100,Penguins of Madagascar,55,764840401,David Lux,Story Artist
181330100,Penguins of Madagascar,56,945230401,Ken Morrissey,Story Artist
181330100,Penguins of Madagascar,57,945240401,Dave Needham,Story Artist
